Pig Iron	38400	70	6000	76800	95	12000	115200	120	18000	153600	100	24000
Ironwood	38400	70	6000	76800	95	12000	115200	120	18000	153600	100	24000
Invar	25600	70	6000	51200	95	12000	76800	120	18000	102400	100	24000
Magnalium	25600	70	6000	51200	95	12000	76800	120	18000	102400	100	24000
Manganese	51200	70	7000	102400	95	14000	153600	120	21000	204800	100	28000
Steel	51200	70	6000	102400	95	12000	153600	120	18000	204800	100	24000
Magnetic Steel	51200	70	6000	102400	95	12000	153600	120	18000	204800	100	24000
Fiery Steel	25600	80	8000	51200	105	16000	76800	130	24000	102400	110	32000
Black Steel	76800	70	6500	153600	95	13000	230400	120	19500	307200	100	26000
Dark Steel	51200	80	8000	102400	105	16000	153600	130	24000	204800	110	32000
Red Steel	89600	70	7000	179200	95	14000	268800	120	21000	358400	100	28000
Blue Steel	102400	70	7500	204800	95	15000	307200	120	22500	409600	100	30000
Meteoric Steel	76800	70	6000	153600	95	12000	230400	120	18000	307200	100	24000
Neodymium	51200	70	7000	102400	95	14000	153600	120	21000	204800	100	28000
Magnetic Neodymium	51200	70	7000	102400	95	14000	153600	120	21000	204800	100	28000
Uranium-235	51200	80	6000	102400	105	12000	153600	130	18000	204800	110	24000
Uranium-238	51200	80	6000	102400	105	12000	153600	130	18000	204800	110	24000
Plutonium-241	51200	80	6000	102400	105	12000	153600	130	18000	204800	110	24000
Plutonium-244	51200	80	2000	102400	105	4000	153600	130	6000	204800	110	8000
Thorium	51200	70	6000	102400	95	12000	153600	120	18000	204800	100	24000
Fluxed Electrum	51200	80	16000	102400	105	32000	153600	130	48000	204800	110	64000
Molybdenum	51200	70	7000	102400	95	14000	153600	120	21000	204800	100	28000
Brass	9600	60	7000	19200	85	14000	28800	110	21000	38400	90	28000
Cobalt Brass	25600	70	8000	51200	95	16000	76800	120	24000	102400	100	32000
Cobalt	51200	80	8000	102400	105	16000	153600	130	24000	204800	110	32000
Chrome	25600	80	11000	51200	105	22000	76800	130	33000	102400	110	44000
Vanadiumsteel	192000	80	3000	384000	105	6000	576000	130	9000	768000	110	12000
Stainless Steel	48000	70	7000	96000	95	14000	144000	120	21000	192000	100	28000
Enderium	25600	80	8000	51200	105	16000	76800	130	24000	102400	110	32000
Palladium	51200	70	8000	102400	95	16000	153600	120	24000	204800	100	32000
Titanium	160000	80	7000	320000	105	14000	480000	130	21000	640000	110	28000
Tungsten	256000	80	7000	512000	105	14000	768000	130	21000	1024000	110	28000
Tungstensteel	256000	90	8000	512000	115	16000	768000	140	24000	1024000	120	32000
TungstenCarbide	128000	90	14000	256000	115	28000	384000	140	42000	512000	120	56000
Knightmetal	102400	80	8000	204800	105	16000	307200	130	24000	409600	110	32000
Damascus Steel	128000	70	8000	256000	95	16000	384000	120	24000	512000	100	32000
Enriched Naquadah	128000	90	6000	256000	115	12000	384000	140	18000	512000	120	24000
Iridium	256000	80	6000	512000	105	12000	768000	130	18000	1024000	110	24000
Osmium	128000	90	16000	256000	115	32000	384000	140	48000	512000	120	64000
Osmiridium	160000	80	7000	320000	105	14000	480000	130	21000	640000	110	28000
HSS-G	400000	80	10000	800000	105	20000	1200000	130	30000	1600000	110	40000
HSS-E	512000	90	10000	1024000	115	20000	1536000	140	30000	2048000	120	40000
HSS-S	300000	90	14000	600000	115	28000	900000	140	42000	1200000	120	56000
Ultimet	204800	90	9000	409600	115	18000	614400	140	27000	819200	120	36000
Desh	12800	80	1000	25600	105	2000	38400	130	3000	51200	110	4000
Steeleaf	76800	80	8000	153600	105	16000	230400	130	24000	307200	110	32000
Naquadah	128000	90	6000	256000	115	12000	384000	140	18000	512000	120	24000
Naquadria	51200	90	1000	102400	115	2000	153600	140	3000	204800	120	4000
Naquadah Alloy	512000	100	8000	1024000	125	16000	1536000	150	24000	2048000	130	32000
Duranium	512000	100	16000	1024000	125	32000	1536000	150	48000	2048000	130	64000
Tritanium	1024000	110	20000	2048000	135	40000	3072000	160	60000	4096000	140	80000
Adamantium	512000	100	10000	1024000	125	20000	1536000	150	30000	2048000	130	40000
Neutronium	65536000	110	24000	131072000	135	48000	196608000	160	72000	262144000	140	96000
